Term,KS1 Definition,KS2 Definition,KS3 Definition,KS4 Definition,Oak definition (if different from pre-existing),"KS5 Definition
(live on Ada platform)",BCS Definition (incomplete),Exam Board Specific Definitions (GCSE),Exam Board Specific Definitions (A Level) 
Character set,,,,A collection of characters listed in a coding table where each character represents a binary number. ,,,,,
Checksum,,,,,,A value derived from a block of binary data that is used for error checking as part of a data communication system.,,,
CIDR,,,,,,Classless Inter-Domain Routing. A method that allows variable-length network identifiers. The length is typically indicated as a suffix to an IP address (a slash followed by the number of bits allocated to network ID).,,,
Ciphertext,,,,,,An encrypted message that is the result of applying an encryption algorithm to a plaintext message.,,,
Circuit switching,,,,,,"A method of transferring data across a network, where the end-to-end path is established before any data is sent.",,,
Circular queue,,,,,,A way of implementing a queue based on a static array where free space at the start of the array is used once the end of the array is reached.,,,
Class (HTML),,,,,,An identifier that can be applied to a collection of HTML elements to style them in a way that is specified by a corresponding CSS rule-set.,,,
Class (OOP),,,,,,A definition of an object that describes its properties (attributes) and behaviours (methods).,,,
Class diagram,,,,,,A diagram that is used to model the classes within an OOP system. A rectangle is used to represent each class. Lines and arrows are used to show the relationships between the classes.,"shows a class represented by a rectangle labelled by its name, attributes and operations. Classes may be associated similar to entity relationships.",,
Client-server model,,,,,,A networking architecture where devices are designated as clients or servers. Clients make requests for services from servers that respond to these requests.,"is a network organised around one or more servers. The server maintains a database of authorised users, passwords and access rights. Usually, but not always, a server also acts as a file server but its prime function is to provide the security for the network.",,
Clock cycle,,,,,,The elapsed time between the change of signals from a clock.,,,
Clock speed,,,,,,"The rate at which the processor can complete its programming cycle. Typically measured in gigahertz, where 1Ghz is one billion cycles per second.","is the electronic unit that synchronises related components by generating pulses at a constant rate. Clock pulses are used to trigger components to take their next step, so keeping all components in time with each other. The clock rate is the frequency at which the clock generates pulses. The higher the clock rate, the faster the computer may work. One limiting factor for machine speed is the manufactured tolerance of the slowest component.",,
Closed source software,,,,,,Software for which the program source code is not made available to the general public.,,,
Co-domain,,,,,,The set of data that defines all possible outputs of a function.,,,
Coaxial cable,,,,,,"A cable made up of an inner conductor and an outer conducting shield, separated by an insulator.","which is made to a variety of specifications, is the same kind of cable that is used for connecting a television aerial to a television set. It has two conductors. One is a wire down the centre of the cable, which may be a single strand, insulated from the second, which is made up of many strands braided around the insulation for the inner wire.",,
Code,the commands that a computer can run,the commands that a computer can run,,,,,,,
Code snippet,a section of a program viewed in isolation,a section of a program viewed in isolation,,,,,,,
Coding system,,,,"A system where a code is used to represent something. For example, 65 represents the letter A.",,,,,
Collision (hashing),,,,,,Occurs when two (different) keys generate the same hash value.,"occurs when the hashing process gives two different data items the same value. This suggests they should be stored in the same place in a hash table or random file, which must not be allowed to happen; there are techniques to deal with the resulting overflow data",,
Collision (networking),,,,,,"A situation on a network, where two or more devices transmit at the same time, on the same medium, and the electrical signals collide.","Individual computers are responsible for waiting for the network to be free before sending a message. If two messages are sent at the same time, a collision occurs. It is detected and the messages have to be retransmitted when the network is free.",,
Colour depth,,,,"Colour depth refers to the number of bits available per pixel. The higher the number of bits, the more colours that can be used to represent the image.",,The number of bits used to represent a colour. Also known as bit depth.,,,
Command,A single instruction which can be used in a program to control a computer,A single instruction which can be used in a program to control a computer,,,,,,,
Commitment ordering,,,,,,A technique used to control multi-user access to a database based around ensuring that multiple commitments are processed in the correct order.,,,
Comparison operators,,,,"An operator that is used to compare one operand to another. For example, < >.",,"Operators, such as greater than, that perform comparisons on two data values. The operation returns either True or False.","Relational operators compare data and produce an answer of true or false (see truth value). This answer can control the flow of a program using IF, WHILE or REPEAT UNTIL statements. Examples of relational operators include equals ‘=’ and less than ‘<’.",,
Compiler,,,,A compiler creates an executable file for a program by translating a high level language to machine readable code.,,A program translator that goes through several stages to produce object code (an executable file).,"is software that translates a program or module, written in a high-level language, into one written in a low-level language such as the computer’s machine code. Generally each high-level language instruction generates several low-level language instructions. The computer produces an independent program that can be run without reference to the original program, although a run-time system, might be needed.",,
Composite key,,,,,,A key that is made up of more than one attribute,,,
Composition,,,,,,"Defines an 'is-part-of' relationship between two classes. In composition, one object can exist only as part of another object.",,,
Compression,,,,Reducing the size of an item.,,The process of reducing file size by applying a compression algorithm.,"is reducing the space occupied by a large file, usually for storage on backing store or for transferring it over a network.",,
Compression ratio,,,,"This can be calculated using the following equation:

Compression ratio = Original file size / Compressed file size",,,,,
Computational security,,,,,,A measure of how hard it is to use a computer to crack a piece of ciphertext.,,,
Computational steps,,,,,,Statements in program code that calculate or compare values.,,,
Computer,A programmable machine which accepts and processes inputs and produces outputs (IPO).,A programmable machine which accepts and processes inputs and produces outputs (IPO).,"A programmable device that accepts data as inputs, processes it and may store it before being output in some way. ",,,,"is a machine that processes data. It takes data, in digital form, which is processed automatically before being output in some way. It is programmable so that the rules used to process the data can be changed. It is an automatic, programmable, digital data processor.",,
Computer architecture,,,,,,The structure and organisation of a computer system.,,,
Computer network,,A group of interconnected computing devices,See network,,,,,,
Computer system,,"A combination of hardware and software that can have data input to it, which it then processes and outputs. It is programmable to perform a variety of tasks.",,,,The hardware and software that work together for computation.,"is the complete collection of components (hardware, software, peripherals, power supplies, communications links) making up a single computer installation. The particular choice of components is known as the configuration – different systems may or may not have the same configuration.",,
Concatenation,,,,When two or more strings are joined together.,,Joining two strings together to make a new string.,joining strings,,
Concurrent access,,,,,,A situation where one or more user(s) attempt(s) to access the same file or record at the same time.,,,
Condition,,A statement that can be either True or False.,,Used to control the flow of execution in a program. A condition contains a logical expression.,An expression that evaluates to True or False (such as within an 'if' statement).,,,,
Condition controlled loop,,SEE: Loop (condition-controlled),,"Condition controlled loops are those in which the end of the loop is not known, it will
continue indefinitely until the condition is met.(AQA)",,,,,
Constant,,,,A constant is a value that cannot be changed during the execution of a program.,,An identifier associated with an area of computer memory in which data is stored. The stored data cannot change during program execution.,is a data item with a fixed value. In a high-level language it is assigned to a variable that cannot be changed when the program is executed.,,
Constant time,,,,,,The time complexity of an algorithm where the time taken to run it does not depend on the size of the input data set.,,,
Control bus,,,,,,A communication pathway that carries signals to control the communication between the processor and other CPU components.,,,
Control flow,,,,The order in which instructions are executed in a program.,,,,,
Control information,,,,,,"Information, typically contained in a packet header, that provides data for packet routing, sequencing, and delivery.",,,
Control protocol,,,,,,An agreed method used to determine when messages should (and should not) be sent.,,,
Control unit (CU),,,,,,A component of the processor that directs the operation of the other system components by providing timing and control signals.,"is the part of the central processor that manages the execution of instructions. A characteristic of all computers is the ability to follow a set of instructions automatically. The control unit fetches each instruction in sequence, decodes and synchronises it before executing it by sending control signals to other parts of the computer, known as the fetch-execute cycle.",,
Convex combination,,,,,,One or more vectors that lie within the convex hull.,,,
Convex hull,,,,,,A representation of the space between two or more vectors.,,,
Copyright,,,,,,The right given to the originator of a piece of work to control how it can be used.,,,
Count controlled loop,,SEE: Loop (count-controlled),,"A loop that has a definite number of times to run, this can be known as definite iteration. A for loop is an example of a Count Controlled loop. (AQA)",,,,,
Countable set,,,,,,A finite set where the members can be counted using natural numbers.,,,
Countably infinite set,,,,,,A set whose elements can be counted such that you will eventually get to a particular element in a finite amount of time.,,,
CRUD,,,,,,"Create, Read, Update, Delete. The main operations that can be carried out on data in a database.",,,
Cryptography,,,,,,The practice and study of techniques used for data encryption.,"is the science of creating and sending secret messages, or ciphers. When communicating by code, it is usual for everyone to use the same coding method, but to have some personal and secret key that is used by the method in a way that makes the message remain hidden, even if the method is known. Modern cryptographical methods involve complex mathematical calculations to encrypt and decrypt the message. This is usually done by a computer.",,
CSMA/CA,,,,,,Carrier Sense Multiple Access with Collision Avoidance. A method used to avoid collisions on a network. A device checks whether the communications channel is idle before attempting to transmit data.,is a protocol for implementing the method of managing data traffic)on local area networks.,,
CSS,,,,,,Cascading Style Sheets. A set of definitions that can be used to style the content and layout of an HTML page.,"Stylesheets is a definition of the formatting and layout of elements of an HTML document. The stylesheet may be part of the HTML document, or stored as a separate file linked to the document. The use of different stylesheets linked to the same document allows appropriate layout of the same content on, for example, mobile devices, display screens.Stylesheets encourage consistent design, in that a ‘master’ stylesheet can be linked to a number of documents or individual documents. Other stylesheets may then override the formatting inherited from the master stylesheet. With this possibility of formatting being defined in different places, potential ambiguities are resolved by the rules for cascading stylesheets (CSS). These rules specify the order in which definitions in one place take precedence over those in another, hence the use of the name ‘cascading’.",,
CSV,,,,Acronym for comma-separated values. It is a plaintext data file where each value is separated by a single comma.,,,,,
Current Instruction Register (CIR),,,,,,The register that holds a copy of the instruction that is currently being decoded and executed.,,,
Custom built function,,,,A function that you have created yourself and imported into other programs that you have created.,,,,,
Data,"A letter, word, number etc. that has been collected for a purpose, but are stored without context","A letter, word, number etc. that has been collected for a purpose, but are stored without context",,"Numbers or text that, on their own, have no meaning.",,,,,
Data abstraction,,,,,,A way of describing the way that data is organised in a way that is independent of the implementation details.,,,
Data bus,,,,,,A communication pathway that is used to carry data between the processor and other CPU components.,,,
Data communication,,,,,,The process of sending and receiving data.,,,
Data file,,,,A file that can be accessed and modified by a program.,,,,,
Data logger,,A device that automatically records data from the physical environment.,,,,,,,
Data mining,,,,,,The process of extracting valuable information by discovering patterns in large data sets.,"is the analysis of a large amount of data in a data warehouse to provide new information. For example, by using loyalty cards, which connect purchases to a particular customer, supermarkets can gather information about the buying habits of individual customers. Combining all the information about customers helps them to establish long-term trends.",,
Data pairing,,,,"In a dictionary, a data pairing is when a key (the attribute identifier) is paired with the data.",,,,,
Data set,,A collection of related data,,,,,,,
Data structure,,,,Used to store data in an organised and accessible way.,,,,,
Data type,,,,,,"An attribute of a data item that determines the values that can be stored and the operations that can be carried out on that data item. Examples of common data types are string, character, integer, float, and Boolean.",a data item of a particular data type,,
Data validation,,,,A check performed on data input to ensure that it can be accepted by the program without causing an error.,,,,,
Database,,An organised collection of data stored on a computer,,A structured and organised method for storing data. A database holds multiple records.,,,,,
DBMS,,,,,,DataBase Management System. A software package that allows a database administrator to maintain one or more databases.,,,
De Morgan's Laws,,,,,,NOT (A AND B) is the same as (NOT A) OR (NOT B). NOT (A OR B) is the same as (NOT A) AND (NOT B).,,,
De Morgan’s Laws,,,,,,,,,
Debugging,The process of finding and correcting errors in a program.,The process of finding and correcting errors in a program.,,,,The process of finding and correcting errors in program code.,"is the detection, location and correction of faults (or bugs) causing errors in a program. The errors are detected by observing error messages or by finding unexpected results in the test output. The location of the faults may be obvious (identified by the error message) or may require extensive investigation.",,
Decimal,,,,A number from the base-10 number system. Also known as denary.,,,,,
Decision symbol,,,,Used on a flowchart to represent a condition.,,,,,
Declaration,,,,Declaring a variable as a specific data type.,,The process of stating the name of a variable or constant and defining its data type.,,,
Decomposition,,"Breaking down a task into smaller, more achievable steps.",,Breaking down a problem into smaller sub-problems to make the more manageable.,,The process of breaking down a large task into several subtasks.,,,
Default gateway,,,,,,A device (typically a router) in a computer network that forwards packets to another network when the destination is not part of the internal network.,,,
Degree of relationship,,,,,,"The relationship between two entities (one-to-one, one-to-many, or many-to-many).",,,
Denary,,,,,,A number system that uses ten distinct symbols (the numbers 0â€“9) to represent a number. Also called decimal or base-10.,,,
Depth-first search,,,,,,A method of searching a graph data structure that explores as far as possible along an unexplored branch before backtracking and selecting a new branch to explore. Uses a stack to support the process.,,,
Depth-first tree traversal,,,,,,An algorithm for traversing a tree data structure that starts at the root node and explores as far as possible along each branch before backtracking.,,,
Dequeue,,,,,,The operation of removing an item from the front of a queue,,,
Device driver,,,,,,Software that provides an interface to a peripheral device such as a printer. The driver translates commands from the peripheral device into a form that the operating system and other programs can understand and vice versa.,,,
DHCP,,,,,,"Dynamic Host Control Protocol. A protocol used when a new device requests to joins a network. The new device is allocated an IP address, subnet mask, default gateway, and DNS server addresses.",,,
Dictionary,,,,A data structure that involves creating data pairings that can be located using a key.,,"An abstract data type that stores an unordered set of keyâ€“value pairs. Values are stored and retrieved by key, not by position.",,,
Dictionary-based method,,,,,,"A lossless method of compression where each different word or group of characters is assigned a code. When the file is compressed, the words or character groups are substituted by the codes.",,,
Digital,,"Technology which uses values, zero and one, to generate, store and process data.",,,,,,,
Digital camera,,,,,,A device that captures an image in digital form.,,,
Digital certificate,,,,,,"A file that contains important information relating to the security of websites, including the public key for encryption.",,,
Digital device,,A computer or ﻿a device with a computer inside that has been programmed for a specific task,,,,,,,
Digital signature,,,,,,A value that is calculated and encrypted that demonstrates that an encrypted document is from the stated sender and has not been tampered with.,,,
Digital sound,,,,"This refers to sound that has been digitised for use by a computer, represented using 1s and 0s",,,,,
Dijkstra's shortest path algorithm,,,,,,An algorithm that finds the shortest path between the start node and all other nodes in a given graph.,,,
Dimensional arrays,,,,"An array is defined as multiple spaces in memory, under a single identifier in order to group elements together. (AQA)",,,,,
Direct addressing,,,,,,A method of addressing where the operand is the address of the data to be used.,,,
Directed graph,,,,,,A graph where the connections between nodes are not bidirectional.,,,
Documentation,,,,,,Material that explains how the system works.,,,
Domain,,,,,,The set of data that defines all possible inputs of a function.,,,
